start_time,end_time,service_provider,longi ,lati,upload_speed,download_speed,delay,cell_id_1,plmn_1,rssi_1,earfcn_1,Pic_1,rsrp_1,rsrq_1,sinr_1,cell_id_2,plmn_2,rssi_1,earfcn_2,pic_2,rsrp_2,rsrq_2,sinr_2,altitude
2022-06-14 20_48_29.226937,2022-06-14 20_49_30.602629,Airtel,NA,NA,15.0753136995704,5.61407984521353,59.744,233523980,40449,-62dB,1415,337,-88dBm,-14dB,8dB,233523980,40449,-61dB,1415,337,-94dBm,-14dB,4dB,3
2022-06-14 20_49_37.575339,2022-06-14 20_50_38.909837,Airtel,NA,NA,8.64708987720627,9.7100733102228,55.374,233523980,40449,-61dB,1415,337,-88dBm,-14dB,5dB,233523980,40449,-56dB,1415,337,-91dBm,-14dB,2dB,3
2022-06-14 20_50_49.751614,2022-06-14 20_51_44.166493,Airtel,NA,NA,24.1749704345619,19.0064327998769,67.052,233523467,40449,-56dB,1415,249,-91dBm,-9dB,5dB,233523467,40449,-56dB,1415,249,-91dBm,-9dB,2dB,3
2022-06-14 20_52_50.328771,2022-06-14 20_53_38.908906,Airtel,NA,NA,13.6804533008002,16.0542281845688,54.544,233523467,40449,-56dB,1415,249,-91dBm,-9dB,4dB,233523467,40449,-56dB,1415,337,-91dBm,-14dB,2dB,3
2022-06-14 20_53_44.267411,2022-06-14 20_54_41.697781,Airtel,NA,NA,1.40113882316091,4.99283216501581,55.55,233523980,40449,-63dB,1415,337,-97dBm,-14dB,0dB,233523980,40449,-770B,39294,250,-109dBm,-14dB,0dB,3
2022-06-14 20_56_11.344254,2022-06-14 20_56_57.897565,Airtel,NA,NA,15.450348784035,14.3533336367729,50.43,233523467,40449,-67dB,1415,249,-96dBm,-14dB,3dB,233523467,40449,-59dB,1415,249,-90dBm,-9dB,4dB,4
2022-06-14 20_57_11.371777,2022-06-14 20_57_53.174050,Airtel,NA,NA,13.7868443157391,14.8602402762995,56.805,233523467,40449,-58dB,1415,249,-90dBm,-9dB,2dB,233523467,40449,-58dB,1415,249,-90dBm,-9dB,5dB,4
2022-06-14 20_58_01.862175,2022-06-14 20_59_02.508258,Airtel,NA,NA,23.7216548296073,23.9746065316333,57.987,233523467,40449,-58dB,1415,249,-89dBm,-9dB,7dB,233523467,40449,-51dB,1415,,-88dBm,-11dB,-6dB,4
2022-06-14 20_59_37.409790,2022-06-14 21_00_27.659355,Airtel,NA,NA,15.9711376491342,17.418425117763,54.2,233523467,40449,-58dB,1415,,-88dBm,-11dB,6dB,233523467,40449,-58dB,1415,,-95dBm,-11dB,-1dB,4
2022-06-14 21_00_40.396258,2022-06-14 21_01_36.886558,Airtel,NA,NA,10.3777303219947,3.57592796628423,59.162,233523980,40449,-64dB,1415,,-95dBm,-11dB,2dB,233523980,40449,-58dB,1415,337,-95dBm,-16dB,-4dB,4
2022-06-14 21_05_12.077203,2022-06-14 21_06_17.096833,Airtel,NA,NA,6.19857471978402,0.217370265423807,65.315,233523467,40449,-64dB,1415,,-95dBm,-11dB,9dB,233523467,40449,-64dB,1415,,-95dBm,-11dB,3dB,5
2022-06-14 21_06_24.633733,2022-06-14 21_07_25.617266,Airtel,NA,NA,4.93151171770385,6.84346329499389,59.646,233523467,40449,-64dB,1415,,-95dBm,-11dB,3dB,233523467,40449,-64dB,1415,,-99dBm,-11dB,0dB,5
2022-06-14 21_07_35.676759,2022-06-14 21_08_38.270123,Airtel,NA,NA,1.78516051660472,2.45861742362025,59.94,233523488,40449,-64dB,39294,250,-99dBm,-18dB,-6dB,233523488,40449,-74dB,39294,250,-106dBm,-13dB,1dB,5
2022-06-14 21_08_41.561217,2022-06-14 21_09_44.465355,Airtel,NA,NA,0.771317677976758,2.22322216299387,70.12,233523488,40449,-74dB,39294,250,-106dBm,-13dB,3dB,233523488,40449,-82dB,39294,250,-112dBm,-19dB,-8dB,5
2022-06-14 21_12_21.595596,2022-06-14 21_13_24.382741,Airtel,NA,NA,13.3796945292651,2.70551014094247,66.657,233524010,40449,-59dB,3646,337,-88dBm,-13dB,2dB,233524010,40449,-54dB,3646,249,-89dBm,-13dB,7dB,5
2022-06-14 21_13_33.408306,2022-06-14 21_14_20.008323,Airtel,NA,NA,9.4344852292137,6.57751072641777,63.589,233523497,40449,-62dB,3646,249,-83dBm,-13dB,0dB,233523497,40449,-47dB,3646,337,-82dBm,-13dB,5dB,6
2022-06-14 21_19_41.481905,2022-06-14 21_20_14.701887,Airtel,NA,NA,12.4352097293352,3.58427798939458,78.296,233523980,40449,-65dB,1415,337,-93dBm,-14dB,0dB,233523980,40449,-64dB,1415,337,-94dBm,-14dB,4dB,6
2022-06-14 21_20_44.073655,2022-06-14 21_21_15.275598,Airtel,NA,NA,11.5246951392976,7.4429779045006,41.549,233523980,40449,-52dB,1415,337,-84dBm,-9dB,5dB,233523980,40449,-61dB,1415,337,-93dBm,-9dB,3dB,6
2022-06-14 21_22_52.296925,2022-06-14 21_23_23.641424,Airtel,NA,NA,13.4188975351646,6.14674362754001,39.794,233523980,40449,-54dB,1415,337,-84dBm,-9dB,11dB,233523980,40449,-52dB,3646,337,-80dBm,-9dB,8dB,6
2022-06-14 21_23_55.903740,2022-06-14 21_24_26.707167,Airtel,NA,NA,13.5556049349775,2.96934704513664,45.977,233524010,40449,-54dB,3646,337,-80dBm,-14dB,11dB,233524010,40449,-54dB,3646,337,-85dBm,-14dB,4dB,6
2022-06-14 21_24_37.054716,2022-06-14 21_25_07.927975,Airtel,NA,NA,10.6015420993256,2.89993835219803,40.691,233524010,40449,-47dB,3646,337,-79dBm,-14dB,5dB,233524010,40449,-45dB,3646,337,-79dBm,-14dB,8dB,7
2022-06-14 21_30_47.468946,2022-06-14 21_31_18.123839,Airtel,NA,NA,7.55619771544737,14.1749569543303,38.281,233523467,40449,-62dB,1415,249,-93dBm,-10dB,6dB,233523467,40449,-62dB,1415,249,-93dBm,-10dB,2dB,7
2022-06-14 21_32_06.601910,2022-06-14 21_32_37.257741,Airtel,NA,NA,11.7857052711966,11.2017021868597,41.449,233523467,40449,-62dB,1415,249,-93dBm,-10dB,2dB,233523467,40449,-62dB,1415,337,-93dBm,-10dB,1dB,7
2022-06-14 21_33_50.898670,2022-06-14 21_34_22.061266,Airtel,NA,NA,9.37166680933127,5.48311152866693,39.675,233523980,40449,-62dB,1415,337,-100dBm,-15dB,-3dB,233523980,40449,-62dB,1415,337,-95dBm,-15dB,2dB,7
2022-06-14 21_35_08.923458,2022-06-14 21_35_43.929390,Airtel,NA,NA,11.1181563107029,0.869521153813158,43.601,233523980,40449,-62dB,1415,337,-95dBm,-15dB,1dB,233523980,40449,-62dB,1415,337,-95dBm,-15dB,4dB,7
2022-06-15 11_22_52.504373,2022-06-15 11_23_52.435105,Airtel,NA,NA,18.0441329803795,11.0275586888777,83.019,233523980,40449,-44dB,1415,337,-82dBm,-13dB,3dB,233523980,40449,-54dB,1415,249,-89dBm,-13dB,8dB,0
2022-06-15 11_24_07.633392,2022-06-15 11_25_25.220221,Airtel,NA,NA,24.5308243803784,33.1607477861247,59.874,233523467,40449,-61dB,1415,249,-89dBm,-70B,5dB,233523467,40449,-61dB,1415,249,-89dBm,-12dB,14dB,0
2022-06-15 11_25_34.832117,2022-06-15 11_26_43.342327,Airtel,NA,NA,21.6785238162662,33.7107541041905,61.58,233523467,40449,-55dB,1415,249,-89dBm,-12dB,11dB,233523467,40449,-55dB,1415,249,-89dBm,-12dB,9dB,0
2022-06-15 11_26_53.030315,2022-06-15 11_28_00.241847,Airtel,NA,NA,21.6157507341866,32.5555726931715,63.951,233523467,40449,-55dB,1415,249,-89dBm,-12dB,4dB,233523467,40449,-62dB,1415,337,-90dBm,-12dB,7dB,0
2022-06-15 11_28_05.248997,2022-06-15 11_28_57.416221,Airtel,NA,NA,20.9722081429323,38.278030884287,84.323,233523980,40449,-62dB,1415,337,-90dBm,-12dB,13dB,233523980,40449,-55dB,1415,249,-90dBm,-12dB,8dB,0
2022-06-15 11_30_42.205583,2022-06-15 11_31_58.264648,Airtel,NA,NA,21.1468449619904,41.1719353991888,65.275,233523467,40449,-61dB,1415,249,-89dBm,-12dB,9dB,233523467,40449,-55dB,1415,249,-84dBm,-70B,11dB,1
2022-06-15 11_32_24.564211,2022-06-15 11_33_31.666678,Airtel,NA,NA,22.9206600927441,33.3392148385841,71.875,233523467,40449,-55dB,1415,249,-84dBm,-70B,6dB,233523467,40449,-61dB,1415,249,-83dBm,-12dB,13dB,1
2022-06-15 11_34_07.368763,2022-06-15 11_35_27.905318,Airtel,NA,NA,22.6090293565607,32.1451592803508,73.074,233523467,40449,-54dB,1415,249,-83dBm,-70B,13dB,233523467,40449,-59dB,1415,249,-86dBm,-70B,7dB,1
2022-06-15 11_35_56.073246,2022-06-15 11_36_50.746151,Airtel,NA,NA,24.821665406777,30.5278886102896,61.429,233523467,40449,-59dB,1415,249,-86dBm,-70B,6dB,233523467,40449,-59dB,1415,249,-91dBm,-13dB,5dB,1
2022-06-15 11_36_58.661881,2022-06-15 11_38_07.908307,Airtel,NA,NA,23.5302452720541,18.3092477220155,66.148,233523467,40449,-59dB,1415,249,-85dBm,-8dB,13dB,233523467,40449,-62dB,1415,249,-90dBm,-13dB,3dB,1
2022-06-15 11_40_35.791048,2022-06-15 11_41_49.997401,Airtel,NA,NA,24.8800329329652,26.5774040932217,74.662,233523980,40449,-60dB,1415,337,-87dBm,-14dB,11dB,233523980,40449,-60dB,1415,337,-87dBm,-9dB,11dB,2
2022-06-15 11_42_42.246412,2022-06-15 11_43_55.291634,Airtel,NA,NA,17.3975386095684,7.64710685972831,65.698,233523980,40449,-60dB,1415,337,-86dBm,-9dB,8dB,233523980,40449,-52dB,3646,249,-82dBm,-9dB,2dB,2
2022-06-15 11_46_12.524938,2022-06-15 11_47_16.944397,Airtel,NA,NA,15.1781841556977,7.15905144813872,75.438,233523497,40449,-52dB,3646,249,-82dBm,-70B,15dB,233523497,40449,-59dB,3646,249,-88dBm,-13dB,-3dB,2
2022-06-15 11_48_01.927873,2022-06-15 11_49_12.256195,Airtel,NA,NA,18.1960212021214,12.1546041276974,67.291,233523497,40449,-59dB,3646,249,-83dBm,-13dB,-6dB,233523497,40449,-53dB,3646,249,-81dBm,-8dB,3dB,2
2022-06-15 11_49_30.969757,2022-06-15 11_50_32.534373,Airtel,NA,NA,16.8282844276561,7.69325811536954,62.885,233523497,40449,-53dB,3646,249,-81dBm,-8dB,1dB,233523497,40449,-53dB,3646,249,-81dBm,-8dB,5dB,2
2022-06-15 11_53_44.709542,2022-06-15 11_54_50.876812,Airtel,NA,NA,22.4474458637926,11.1293006844979,97.174,233523467,40449,-57dB,1415,249,-86dBm,-9dB,4dB,233523467,40449,-57dB,1415,337,-88dBm,-14dB,11dB,3
2022-06-15 11_55_30.179059,2022-06-15 11_56_36.622054,Airtel,NA,NA,14.469830885245,8.04264310700969,68.167,233524010,40449,-57dB,3646,337,-87dBm,-14dB,4dB,233524010,40449,-57dB,3646,469,-86dBm,-14dB,-3dB,3
2022-06-15 11_56_49.194717,2022-06-15 11_58_12.742046,Airtel,NA,NA,17.4501116832877,12.1617693362498,67.305,233523980,40449,-57dB,1415,337,-86dBm,-10dB,10dB,233523980,40449,-57dB,1415,337,-85dBm,-10dB,11dB,3
2022-06-15 11_58_55.406781,2022-06-15 12_00_12.622598,Airtel,NA,NA,17.1539295279531,7.3638372420162,76.224,233523980,40449,-57dB,1415,337,-85dBm,-10dB,7dB,233523980,40449,-57dB,3646,249,-79dBm,-8dB,8dB,3
2022-06-15 12_01_01.081218,2022-06-15 12_02_13.938766,Airtel,NA,NA,16.95979346193,11.6934354354263,62.747,233524010,40449,-57dB,3646,337,-80dBm,-8dB,5dB,233524010,40449,-53dB,3646,337,-85dBm,-13dB,3dB,3
2022-06-15 12_06_59.593566,2022-06-15 12_08_07.482179,Airtel,NA,NA,14.7632407692733,5.00394273395997,89.332,233524010,40449,-55dB,3646,,-83dBm,-11dB,7dB,233524010,40449,-55dB,3646,,-81dBm,-11dB,7dB,4
2022-06-15 12_08_13.618306,2022-06-15 12_09_23.126825,Airtel,NA,NA,15.5875994983238,4.88628419556225,64.992,233524010,40449,-55dB,3646,,-81dBm,-11dB,12dB,233524010,40449,-57dB,3646,,-80dBm,-11dB,7dB,4
2022-06-15 12_10_28.909733,2022-06-15 12_11_31.152559,Airtel,NA,NA,14.7566034164495,6.04248852739616,71.164,233524010,40449,-56dB,3646,,-79dBm,-11dB,2dB,233524010,40449,-54dB,3646,,-89dBm,-11dB,4dB,4
2022-06-15 12_13_01.911696,2022-06-15 12_14_08.112300,Airtel,NA,NA,15.9575210680918,3.86140074270144,80.535,233524010,40449,-56dB,3646,,-84dBm,-11dB,9dB,233524010,40449,-48dB,3646,,-75dBm,-11dB,10dB,4
2022-06-15 12_14_16.786772,2022-06-15 12_15_41.744792,Airtel,NA,NA,16.0815709435709,11.7950326999334,68.421,233524010,40449,-41dB,3646,,-75dBm,-11dB,7dB,233524010,40449,-46dB,3646,,-81dBm,-11dB,9dB,4
