 start_time,end_time,servce_provider,longi,lati,upload_speed,download_speed,delay,bandwith_1,earfcn_1,physical_cell_id_1,plmn_1,global_cell_id_1,ecgi_1,rsrp_1,rsrq_1,sinr_1,bandwith_2,earfcn_2,physical_cell_id_2,plmn_2,global_cell_id_1,ecgi_2,rsrp_2,rsrq_2,sinr_2,altitude
2022-06-14 20_12_25.057554,2022-06-14 20_12_55.978508,JIO,NA,NA,3.88906854680342,10.5231781992953,67.391,20MHz,38750,350,405854,2001938,405854006f01e8c12,-94dBm,-14dB,7dB,20MHz,38750,350,405854,2001938,405854006f01e8c12,-89dBm,-14dB,1dB,6
2022-06-14 20_13_21.222719,2022-06-14 20_13_50.731234,JIO,NA,NA,4.55477802116446,7.67232568083395,62.203,20MHz,38750,350,405854,2001938,405854006f01e8c12,-89dBm,-14dB,4dB,20MHz,38750,350,405854,2001938,405854006f01e8c12,-90dBm,-14dB,7dB,6
2022-06-14 20_15_33.096661,2022-06-14 20_16_03.138359,JIO,NA,NA,2.80243134073148,13.7263433057938,58.31,20MHz,38750,350,405854,2001938,405854006f01e8c12,-96dBm,-14dB,8dB,20MHz,38750,350,405854,2001938,405854006f01e8c12,-101dBm,-14dB,11dB,6
2022-06-14 20_17_15.543350,2022-06-14 20_18_00.088940,JIO,NA,NA,0.714462915721112,7.42797662324315,63.107,20MHz,38750,350,405854,2001938,405854006f01e8c12,-96dBm,-14dB,6dB,20MHz,38750,350,405854,2001938,405854006f01e8c12,-96dBm,-14dB,11dB,7
2022-06-14 20_18_34.438394,2022-06-14 20_20_07.644336,JIO,NA,NA,3.12164393175825,9.44291360820404,124.048,20MHz,38750,350,405854,2001938,405854006f01e8c12,-97dBm,-14dB,3dB,20MHz,38750,350,405854,2001938,405854006f01e8c12,-96dBm,-14dB,2dB,7
2022-06-14 20_20_10.263851,2022-06-14 20_20_41.227852,JIO,NA,NA,4.91805577451517,11.2267159930138,63.391,20MHz,38750,350,405854,2001938,405854006f01e8c12,-96dBm,-14dB,2dB,20MHz,38750,350,405854,2001938,405854006f01e8c12,-96dBm,-14dB,6dB,7
2022-06-14 20_20_56.210239,2022-06-14 20_21_41.125292,JIO,NA,NA,3.19222128161269,8.1935277666251,59.893,20MHz,38750,350,405854,2001938,405854006f01e8c12,-102dBm,-14dB,6dB,20MHz,38750,350,405854,2001938,405854006f01e8c12,-99dBm,-14dB,8dB,7
2022-06-14 20_24_30.394494,2022-06-14 20_25_03.850342,JIO,NA,NA,4.28500544202381,13.8884146322777,64.53,20MHz,38948,129,405854,2001941,405854006f01e8c15,-92dBm,-14dB,17dB,20MHz,38948,129,405854,2001941,405854006f01e8c15,-94dBm,-14dB,15dB,7
2022-06-14 20_25_55.181749,2022-06-14 20_26_24.900790,JIO,NA,NA,5.28265063898206,15.8090621887152,65.564,20MHz,38948,129,405854,2001941,405854006f01e8c15,-88dBm,-14dB,20dB,20MHz,38948,129,405854,2001941,405854006f01e8c15,-92dBm,-14dB,17dB,0
2022-06-14 20_26_55.514501,2022-06-14 20_27_24.977723,JIO,NA,NA,5.34336155461561,14.6506424122319,60.541,20MHz,38948,129,405854,2001941,405854006f01e8c15,-92dBm,-14dB,15dB,20MHz,38948,129,405854,2001941,405854006f01e8c15,-92dBm,-14dB,10dB,0
